speed: 0 ; cp: [''] ; reward: -0.15
speed: 48 ; cp: ['1', '8'] ; reward: -0.04759999999999999
speed: 48 ; cp: ['1', '8'] ; reward: -0.04759999999999999
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 49 ; cp: ['1', '8'] ; reward: -0.04328888888888889
speed: 42 ; cp: ['1', '8'] ; reward: -0.07159999999999998
speed: 48 ; cp: ['1', '8'] ; reward: -0.04759999999999999
speed: 44 ; cp: ['1', '8'] ; reward: -0.06395555555555554
speed: 43 ; cp: ['1', '8'] ; reward: -0.06782222222222221
speed: 41 ; cp: ['1', '8'] ; reward: -0.07528888888888889
speed: 43 ; cp: ['1', '8'] ; reward: -0.06782222222222221
speed: 42 ; cp: ['1', '8'] ; reward: -0.07159999999999998
speed: 44 ; cp: ['1', '8'] ; reward: -0.06395555555555554
speed: 48 ; cp: ['1', '8'] ; reward: -0.04759999999999999
speed: 48 ; cp: ['1', '8'] ; reward: -0.04759999999999999
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 54 ; cp: ['1', '8'] ; reward: -0.0204
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 55 ; cp: ['1', '8'] ; reward: -0.015555555555555572
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 59 ; cp: ['1', '8'] ; reward: 0.00471111111111111
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 58 ; cp: ['1', '8'] ; reward: -0.0004888888888888998
speed: 8 ; cp: ['1', '8'] ; reward: -0.14715555555555554
speed: 59 ; cp: ['1', '8'] ; reward: 0.00471111111111111
speed: 52 ; cp: ['1', '8'] ; reward: -0.02982222222222221
speed: 59 ; cp: ['1', '8'] ; reward: 0.00471111111111111
speed: 8 ; cp: ['1', '8'] ; reward: -0.14715555555555554
speed: 2 ; cp: ['1', '8'] ; reward: -0.14982222222222222
speed: 4 ; cp: ['1', '8'] ; reward: -0.1492888888888889
speed: 3 ; cp: ['1', '8'] ; reward: -0.14959999999999998
speed: 1 ; cp: ['1', '8'] ; reward: -0.14995555555555554
speed: 53 ; cp: ['1', '8'] ; reward: -0.025155555555555556
speed: 12 ; cp: ['1', '8'] ; reward: -0.1436
speed: 0 ; cp: ['1', '8'] ; reward: -0.15
speed: 3 ; cp: ['1', '8'] ; reward: -0.14959999999999998
speed: 1 ; cp: ['1', '8'] ; reward: -0.14995555555555554
speed: 2 ; cp: ['1', '8'] ; reward: -0.14982222222222222
speed: 2 ; cp: ['1', '8'] ; reward: -0.14982222222222222
speed: 1 ; cp: ['1', '8'] ; reward: -0.14995555555555554
speed: 0 ; cp: ['1', '8'] ; reward: -0.15
speed: 1 ; cp: ['1', '8'] ; reward: -0.14995555555555554
speed: 2 ; cp: ['2', '8'] ; reward: 19.850177777777777
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
